close,epoch,high,low,open
106893.8433,2025-06-22 08:43:00,107016.8932,106880.107,106926.2413
106856.4773,2025-06-22 08:44:00,106891.7119,106751.5029,106886.5612
106853.1361,2025-06-22 08:45:00,106891.4085,106746.3455,106847.8302
106681.5284,2025-06-22 08:46:00,106882.9868,106681.5284,106836.5406
106741.1039,2025-06-22 08:47:00,106758.7526,106622.5451,106709.5916
106760.9122,2025-06-22 08:48:00,106842.3919,106675.6532,106750.9979
106690.4601,2025-06-22 08:49:00,106805.836,106690.4601,106768.4854
106592.4246,2025-06-22 08:50:00,106698.2397,106591.031,106698.0954
106627.5101,2025-06-22 08:51:00,106655.1502,106518.092,106613.0785
106570.9975,2025-06-22 08:52:00,106670.6954,106558.3814,106665.3347
106564.1161,2025-06-22 08:53:00,106617.2538,106463.495,106591.979
106486.7994,2025-06-22 08:54:00,106598.8847,106473.5924,106560.1193
106646.753,2025-06-22 08:55:00,106646.753,106464.3014,106464.3014
106396.0544,2025-06-22 08:56:00,106654.1487,106396.0544,106643.2445
106488.6316,2025-06-22 08:57:00,106500.3395,106391.5233,106400.257
106492.1611,2025-06-22 08:58:00,106593.175,106486.1763,106486.3039
106493.4887,2025-06-22 08:59:00,106568.2063,106474.7476,106505.3871
106565.5672,2025-06-22 09:00:00,106593.0319,106515.0713,106520.8515
106696.0707,2025-06-22 09:01:00,106733.8428,106536.8638,106557.9343
106771.7301,2025-06-22 09:02:00,106861.1261,106697.6681,106697.6681
106732.0363,2025-06-22 09:03:00,106841.5902,106714.6027,106759.7915
106709.9732,2025-06-22 09:04:00,106886.4604,106709.9732,106751.9791
106765.9342,2025-06-22 09:05:00,106765.9342,106601.7102,106700.065
106896.4705,2025-06-22 09:06:00,106924.6005,106794.4898,106794.4898
106986.9715,2025-06-22 09:07:00,106986.9715,106863.8969,106883.7164
106997.4512,2025-06-22 09:08:00,107025.1832,106912.7603,107016.736
106880.3536,2025-06-22 09:09:00,107011.3383,106827.649,106985.0218
106890.4421,2025-06-22 09:10:00,106910.4217,106835.9093,106900.3694
106882.119,2025-06-22 09:11:00,106964.1662,106866.2553,106893.8293
107004.8772,2025-06-22 09:12:00,107004.8772,106794.3505,106829.2791
106851.4471,2025-06-22 09:13:00,107010.7269,106851.4471,107007.9516
106905.7265,2025-06-22 09:14:00,106905.7265,106777.0642,106804.9039
106887.1834,2025-06-22 09:15:00,106933.6296,106859.2025,106894.8414
106750.1211,2025-06-22 09:16:00,106912.312,106720.6579,106912.1341
106856.3778,2025-06-22 09:17:00,106859.4072,106775.3618,106784.6735
106881.4555,2025-06-22 09:18:00,106887.9962,106778.8572,106850.7876
106912.6119,2025-06-22 09:19:00,106959.7206,106829.8721,106886.0541
106835.1807,2025-06-22 09:20:00,106921.1771,106812.0005,106921.1771
106836.4481,2025-06-22 09:21:00,106998.6505,106834.6708,106841.7226
106962.5316,2025-06-22 09:22:00,106992.993,106847.2792,106847.2792
106815.7536,2025-06-22 09:23:00,106978.5921,106815.7536,106943.6194
